nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
alfamart,3.5,2,-6.2579807,106.8499505,"apartement kalibata city tower nusa indah 08-11 kel, rt.9/rw.4, rawajati, kota jakarta selatan",ChIJgztQ37LzaS4RqexTxSjOLo8,0
alfamart,4.1,22,-6.2624146,106.8482494,"jl. empang tiga no.99 rt.14, rw no.kel, rt.14/rw.1, pejaten tim., kota jakarta selatan",ChIJldgfBQDzaS4RQD2w0HmvqT0,0
alfamart,3.9,108,-6.265602599999999,106.8508493,"jl. rawajati timur no.kel, rt.7/rw.6, rawajati, kota jakarta selatan",ChIJK3B8r0_yaS4RKn-EKaMgJpM,0
alfamart,4.2,30,-6.2679459,106.8470626,"jl. batu i kel no.3, rt.4/rw.1, pejaten tim., kota jakarta selatan",ChIJ7etgAUbyaS4Rltk4NYMESVU,0
alfamart - tower ebony,5,1,-6.257284599999999,106.8526894,"pvv3+33p, rt.9/rw.4, rawajati, south jakarta city",ChIJJwlUwbrzaS4RF4cES_63IzE,0
alfamart,4.3,185,-6.2614857,106.8419188,"jl. kalibata tengah kel no.rt. 001 / 07, rt.2/rw.7, kalibata, kota jakarta selatan",ChIJxx6tdpbzaS4RZ-Qlex8c2vI,0
alfamart,4.4,43,-6.233994099999999,106.8496706,"jl. tebet barat, no. iv, no. 7, rt. 016 / 04, kel, rt.16/rw.2, tebet bar., kota jakarta selatan",ChIJ9Vwe-pbzaS4RRlQmSFdW96A,0
alfamart,4.3,68,-6.2295531,106.8467864,"jl dr soepomo sh no 73d menten, rt.2/rw.15, menteng dalam, kota jakarta selatan",ChIJFRyV05PzaS4RMYjyqWOO87o,0
alfamart abdullah syafei,4.3,56,-6.2233659,106.8491521,"jl. kh. abdullah syafei no.27, kel no.01, rt.4/rw.1, manggarai sel., kota jakarta selatan",ChIJAUMc7Y7zaS4RgN_gPmZvDbU,0
alfamart,4.4,115,-6.2296444,106.8533086,"jl. tebet raya no.10a, rt.9/rw.4 kel, tebet tim., kota jakarta selatan",ChIJrwK7gpDzaS4RiLpXd52lzmk,0
alfamart,4.2,247,-6.232115299999999,106.8526155,"jl. tebet timur raya kel no.10a, rw.5, tebet tim., kota jakarta selatan",ChIJvxCSrJDzaS4RKB-Id--kE3M,0
