nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
indomaret al barkah,4.6,18,-6.2204901,106.8472328,"jl. albarkah no.20, rt.7/rw.3, manggarai sel., kota jakarta selatan",ChIJk___P4nzaS4RKHnkXKOuy64,0
indomaret casablanca,3.7,22,-6.2250076,106.8428196,"jalan casablanca, rt. 07 / rw. 11, menteng dalam, tebet, rt.7/rw.11, menteng dalam, kota jakarta selatan",ChIJVaFRO43zaS4R9wZv9oxkGeI,0
indomaret wisma staco,5,2,-6.2246197,106.8401752,"wisma staco, jl. raya casablanca no.4, rt.4/rw.12, menteng dalam, kota jakarta selatan",ChIJTYdPFlzzaS4R4JoaMHSAiPY,0
indomaret apartemen casablanca,1,1,-6.2232986,106.8453453,"jl. raya casablanca no.14, rw.5, menteng dalam, kota jakarta selatan",ChIJV4P3VhjzaS4RnuDMhqW9W2w,0
indomaret pal batu 36,4.3,70,-6.2247397,106.8447512,"jl. pal batu raya no.36, rt.13/rw.4, menteng dalam, kota jakarta selatan",ChIJtX8wqY3zaS4RTpmMPQzAFbg,0
indomaret,4.2,421,-6.229205299999999,106.8474494,"jl. prof supomo no 321 blok bz persil no 19, rt.13/rw.2, tebet barat, rt.13/rw.2, tebet bar., kota jakarta selatan",ChIJxf__P5bzaS4RZ7KfkYohoDc,0
indomaret tebet raya,4.3,37,-6.230342299999999,106.8514366,"jl. tebet raya no.30 a, rt.2/rw.2, tebet bar., kota jakarta selatan",ChIJV7cl6pDzaS4RnpIsEEg4Wik,0
indomaret casablanca mansion fl12,4,4,-6.223185200000001,106.8461687,"qrgw+qf6, apartemen casablanca mansion jalan casablanca setia budi, rt.14/rw.5, menteng dalam, kota jakarta selatan",ChIJuRjcO4zzaS4RUa5WFynptng,0
indomaret soepomo,4.1,16,-6.2325019,106.8444327,"qr9v+2q4, jalan dr. soepomo, rt.1/rw.3, menteng dalam, kota jakarta selatan",ChIJw4Qe95TzaS4R4TukR0p9hZk,0
indomaret tebet raya,4.3,37,-6.230342299999999,106.8514366,"jl. tebet raya no.30 a, rt.2/rw.2, tebet bar., kota jakarta selatan",ChIJV7cl6pDzaS4RnpIsEEg4Wik,0
indomaret casablanca,3.7,22,-6.2250076,106.8428196,"jalan casablanca, rt. 07 / rw. 11, menteng dalam, tebet, rt.7/rw.11, menteng dalam, kota jakarta selatan",ChIJVaFRO43zaS4R9wZv9oxkGeI,0
indomaret tebet,4.7,26,-6.2242003,106.8525338,"jl. kh abdullah syafei no.2, rt.12/rw.5, bukit duri, kota jakarta selatan",ChIJndinnI_zaS4RsBdPM7-_7mo,0
indomaret pal batu 36,4.3,70,-6.2247397,106.8447512,"jl. pal batu raya no.36, rt.13/rw.4, menteng dalam, kota jakarta selatan",ChIJtX8wqY3zaS4RTpmMPQzAFbg,0
indomaret,4.2,421,-6.229205299999999,106.8474494,"jl. prof supomo no 321 blok bz persil no 19, rt.13/rw.2, tebet barat, rt.13/rw.2, tebet bar., kota jakarta selatan",ChIJxf__P5bzaS4RZ7KfkYohoDc,0
indomaret apartemen casablanca,1,1,-6.2232986,106.8453453,"jl. raya casablanca no.14, rw.5, menteng dalam, kota jakarta selatan",ChIJV4P3VhjzaS4RnuDMhqW9W2w,0
indomaret casablanca mansion fl12,4,4,-6.223185200000001,106.8461687,"qrgw+qf6, apartemen casablanca mansion jalan casablanca setia budi, rt.14/rw.5, menteng dalam, kota jakarta selatan",ChIJuRjcO4zzaS4RUa5WFynptng,0
